,Company_Id,title,publish date
0,1,"How the retail industry will top $5.5 trillion by 2020 (TGT, WMT, AMZN)",2019-10-31
1,1,Over 200 musicians have pledged to boycott Amazon's music festival unless the company severs all ties with ICE (AMZN),2019-10-24
2,1,"I spent the last week with Amazon's new Echo Buds, and it showed me a lot about where Alexa is going (AMZN)",2019-10-29
3,1,Toy brands are reportedly paying Amazon millions of dollars for the chance to be featured in its annual holiday gift guide (AMZN),2019-10-21
4,1,"Trump reportedly tried to stop Amazon from winning a $10 billion cloud deal, but experts say Microsoft won on its own merits (AMZN, MSFT)",2019-10-29
5,1,"Microsoft and Amazon are showing slowdowns in their all-important cloud businesses — but Wall Street says there's far more to the story (AMZN, MSFT)",2019-10-25
6,1,"It looks like Amazon is moving into a massive new tower that the late Microsoft cofounder Paul Allen's company is building in the Seattle suburb where Jeff Bezos started it all (AMZN, MSFT)",2019-10-30
7,1,"Microsoft's $10 billion Pentagon cloud contract win is a clear sign it's in the same league as Amazon Web Services, but experts say the fight isn't finished yet (MSFT, AMZN)",2019-10-29
8,1,Amazon.com Inc (AMZN) Q3 2019 Earnings Call Transcript,2019-10-24
9,1,Amazon.com announces third quarter sales up 24% to $70.0 billion (Amazon),2019-10-24
10,1,The Number One: FAANG companies’ employees donate most often to this presidential candidate,2019-10-31
11,1,Microsoft’s Challenge of Amazon in the Cloud Gains Force - The Wall Street Journal,2019-10-27
12,1,"Dow Jones Turns Lower Amid China News, As This Blue Chip Sells Off 5% - Investor's Business Daily",2019-10-21
13,1,Banks are at risk of losing $88 billion in payments revenue due to tech competition,2019-10-23
14,1,"Dow Jones Today: Intel, Cat Boost Dow; Amazon Bites Nasdaq - Investor's Business Daily",2019-10-25
15,1,亚马逊第三季度净利润21.34亿美元 同比下降26%,2019-10-24
16,1,Amazonが『Echo Dot』とAmazon Music Unlimited1ヶ月で999円キャンペーン開催中!,2019-10-27
17,1,This chart shows how much Brexit matters to the U.S. stock market,2019-10-17
18,1,Twice as many copies of the Constitution have sold during Trump’s presidency as during Obama’s first term,2019-10-15
19,1,Netflix to sell another $2 billion of junk bonds as it braces for onslaught of competition,2019-10-21
20,1,The Ratings Game: Microsoft wins JEDI battle but Amazon could return fire,2019-10-28
21,1,"Momentum investors are now buying shares of Apple, Amazon and Netflix",2019-10-15
22,1,Meg Whitman’s new venture is thinking big with a short-form streaming service,2019-10-22
23,1,Amazon eliminating the $14.99 fee for grocery delivery to Prime members,2019-10-29
24,1,Amazon: A Lot To Like Here,2019-10-28
25,1,Amazon won't spin off AWS. That's hurting AWS,2019-10-28
26,1,"Tech Roundup: AMZN Misses, MSFT Tops, INTC Is the Biggest Surprise - Yahoo Finance",2019-10-25
27,1,Democrat Presidential Candidates Clash Over Breaking up Big Tech - TheStreet.com,2019-10-16
28,1,"Amazon Linux AMI Install Linux, nginx, MySQL, PHP (LEMP)",2019-10-15
29,1,Amazon Earnings Miss Countered By Solid Results Across the Board,2019-10-25
30,1,Amazon (AMZN) Q3 Earnings Lag Estimates,2019-10-24
31,1,"Amazon -7.5% on Q3 profit miss, light holiday sales forecast - Seeking Alpha",2019-10-24
32,1,Will Amazon's (AMZN) Q3 Earnings Benefit From Prime & AWS?,2019-10-21
33,1,One-Day Shipping Pain Worth It For Amazon's Long-Term Gain,2019-10-25
34,1,The Ratings Game: Chip-equipment companies suggest a recovery is on the way,2019-10-31
35,1,Outside the Box: Here’s what to watch in the Microsoft vs. Amazon cloud battle after JEDI win,2019-10-28
36,1,How to buy toys for the kid who has everything — without relying on sponsored lists from Amazon or Walmart,2019-10-21
37,1,The Margin: Americans are spending almost half a billion on Halloween costumes for their pets,2019-10-22
38,1,"Amazon (AMZN) Q3 Earnings Miss, Revenues Beat Estimates",2019-10-25
39,1,Should You Buy Amazon ETFs Ahead of Q3 Earnings?,2019-10-22
40,1,Howard Gold's No-Nonsense Investing: Wall Street is way too paranoid about a President Elizabeth Warren,2019-10-29
41,1,"Amazon AWS Selected by Old Mutual, Expands Cloud Clientele",2019-10-18
42,1,"Marijuana stocks, after declines of over 50%, are now only ludicrously overpriced",2019-10-16
43,1,"The Force Is With Microsoft; Apple Might Be Cooked For Now, Let's Chart It",2019-10-27
44,1,"E-commerce Stocks' Q3 Earnings Roster: AMZN, EXPE, MELI & W",2019-10-23
45,1,"Q3 Earnings Frenzy: Amazon (AMZN), Intel (INTC) & More",2019-10-24
46,1,"Amazon (AMZN) Q3 2019 Earnings Preview: AWS, Prime & Advertising",2019-10-16
47,1,Amazon (AMZN) Earnings Thursday Could Be a Springboard,2019-10-23
48,1,Microsoft’s Break Out May Send Shares Surging Higher,2019-10-28
49,1,Amazon (AMZN) Reports Q3 Earnings Today: Will It Top or Flop?,2019-10-24
50,1,Jeff Bezos Could Lose Title Of World's Richest Person After Amazon's Earnings Miss,2019-10-25
51,1,"Amazon (AMZN) Stock’s Profit Crash Hurts, But It Paves the Way for Next Surge",2019-10-25
52,1,"November Outlook: From Jobs To Fed To China, This Month Has It All",2019-10-30
53,1,"Earnings Get Even Busier As More Than 40 Companies Report Today, Including Amazon",2019-10-24
54,1,The total market index isn’t all it’s cracked up to be,2019-10-21
55,1,"Earnings Watch: Tesla speeds toward unpleasant earnings turn, Boeing faces tough questions",2019-10-20
56,1,CEIVA Logic Sues Amazon for Patent Infringement,2019-10-23
57,1,JR東日本、北陸新幹線の水没にも動ぜず,2019-10-15
58,1,"Sustainable Investing: For ESG investors, the newest challenge is separating fact from ‘greenwashing’",2019-10-15
59,1,This shocking stat will make you want to buy Amazon stock after its recent beatdown,2019-10-25
60,1,Amazon Offering Big Shippers Customized Ground Delivery Services At Low Rates,2019-10-28
61,1,Microsoft Stock Poised To Break Out On JEDI Contract Win - Investor's Business Daily,2019-10-28
62,1,"The 'Empire Strikes Back'; Why FANG Isn't Leading, And What It Can Do Right Now",2019-10-18
63,1,Ações da Apple batem novo recorde; Alphabet passa Amazon e se torna a 3ª empresa mais valiosa,2019-10-23
64,1,"Aukey Handyhalterung mit Saugnapf, 360° drehbar (Prime)",2019-10-22
65,1,Tech Stocks Drive the S&P 500 to Record Highs - Market Realist,2019-10-29
66,1,5 Amazing Big Tech Earnings Charts - Zacks.com,2019-10-22
67,1,"Breakup of Tech Giants ‘on the Table,’ U.S. Antitrust Chief Says - Wall Street Journal",2019-10-22
68,1,I Bought Amazon Stock Today — And You Should Too,2019-10-25
69,1,"Jim Cramer Shares His Thoughts On Canopy Growth, Procter & Gamble And More",2019-10-17
70,1,"We're Just Points From An S&P Breakout, And Strong Results From Microsoft, ServiceNow, And PayPal Will Boost Cloud Names",2019-10-24
71,1,Is Amazon Stock Ready to Break Out Again?,2019-10-15
72,1,Here's Why Investors Will Pay Attention to Amazon's Holiday Predictions This Week,2019-10-24
73,1,"Jeff Bezos plays hooky, goes back to school - Fox Business",2019-10-21
74,1,Microsoft Just Won a $10 Billion Defense Cloud Contract,2019-10-28
75,1,Warren and Biden Attack Facebook's Most Successful Business - Market Realist,2019-10-15
76,1,Boot Barn (BOOT) and Burlington Stores (BURL) Are Aggressive Growth Stocks,2019-10-17
77,1,Etsy Is Beating Amazon At Its Own Retailing Game,2019-10-24
78,1,5 Amazing Big Tech Earnings Charts,2019-10-22
79,1,Apple supera Microsoft é mais uma vez a empresa mais valiosa do mundo,2019-10-19
80,1,Amazon Drops on Wide Earnings and Guidance Miss; Revenue Tops Estimates - TheStreet.com,2019-10-24
81,1,Survey: Teens Spend More Time On YouTube Than Netflix,2019-10-15
82,1,Roku Shares Advance After Streaming-Tech Company Adds Apple TV - TheStreet.com,2019-10-15
83,1,"Big Tech Antitrust Is Bipartisan, Says Antitrust Chief Makan Delrahim - Barron's",2019-10-22
84,1,"Eurozone Fears, CAT, MSFT & TSLA Earnings & Buy Callaway Stock - Free Lunch",2019-10-24
